startDate,endDate,duration,distance,unit,calories
2021-02-25 18:57:40 -0800,2021-02-25 19:50:15 -0800,52.58137273192406,2325,yd,373.012
2021-02-26 20:21:04 -0800,2021-02-26 21:11:01 -0800,49.95873920122782,2600,yd,395.676
2021-03-01 20:25:07 -0800,2021-03-01 21:10:14 -0800,45.11289624969164,2225,yd,329.656
2021-03-03 10:28:24 -0800,2021-03-03 11:20:16 -0800,51.86479673186938,2350,yd,363.552
2021-03-04 20:22:37 -0800,2021-03-04 21:09:31 -0800,46.90206258296966,2400,yd,356.368
2021-03-08 18:59:14 -0800,2021-03-08 19:49:49 -0800,50.5848484814167,2450,yd,373.232
2021-03-10 19:04:45 -0800,2021-03-10 19:50:22 -0800,45.62486944993337,2125,yd,337.54
2021-03-15 10:32:50 -0800,2021-03-15 11:14:52 -0800,42.02819468180338,2050,yd,319.204
2021-03-17 09:31:17 -0800,2021-03-17 10:21:12 -0800,49.92383303443591,2325,yd,354.262
2021-03-19 18:21:36 -0800,2021-03-19 19:10:49 -0800,49.22282611529032,2550,yd,387.148
2021-03-21 12:03:05 -0800,2021-03-21 12:50:54 -0800,47.81496588389079,2325,yd,350.459
2021-03-22 18:26:24 -0800,2021-03-22 19:11:31 -0800,45.1171592493852,2300,yd,348.058
2021-03-25 07:42:46 -0800,2021-03-25 08:21:21 -0800,38.58461226820945,1825,yd,289.706
2021-03-26 10:35:53 -0800,2021-03-26 11:20:50 -0800,44.94446878234545,2300,yd,349.109
2021-03-29 18:06:57 -0800,2021-03-29 18:51:07 -0800,44.17161828279495,2175,yd,324.184
2021-03-31 11:33:15 -0800,2021-03-31 12:20:54 -0800,47.65890850027402,2325,yd,361.973
2021-04-01 18:08:55 -0800,2021-04-01 18:50:43 -0800,41.80201429923375,2075,yd,331.142
2021-04-05 19:21:50 -0800,2021-04-05 20:10:18 -0800,48.48085500001908,2325,yd,358.114
2021-04-08 18:23:59 -0800,2021-04-08 19:10:44 -0800,46.76473548213641,2300,yd,367.508
2021-04-09 10:36:11 -0800,2021-04-09 11:20:55 -0800,44.73832885026932,2175,yd,344.662
2021-04-16 10:38:19 -0800,2021-04-16 11:20:47 -0800,42.46747453212738,2025,yd,326.708
2021-04-17 07:31:01 -0800,2021-04-17 07:57:47 -0800,26.76998633344968,1169.66,yd,236.057
2021-04-19 13:00:11 -0800,2021-04-19 13:49:47 -0800,49.60830174883207,2500,yd,366.439
2021-04-21 12:02:40 -0800,2021-04-21 12:50:25 -0800,47.75074641505877,2375,yd,355.157
2021-04-22 07:35:17 -0800,2021-04-22 08:21:08 -0800,45.84708455006282,1950,yd,318.007
2021-05-02 10:59:05 -0800,2021-05-02 11:50:48 -0800,51.71932534972827,2400,yd,358.546
2021-05-03 18:15:59 -0800,2021-05-03 18:50:51 -0800,34.86989883383115,1700,yd,260.298
2021-05-05 18:04:21 -0800,2021-05-05 18:50:45 -0800,46.40049634973208,2225,yd,345.983
2021-05-07 10:02:53 -0800,2021-05-07 10:54:49 -0800,51.94076033433279,2000,yd,338.617
2021-05-10 19:00:41 -0800,2021-05-10 19:47:19 -0800,46.64105921586354,2100,yd,327.82
2021-05-12 12:04:08 -0800,2021-05-12 12:48:13 -0800,44.08798123399416,2000,yd,335.888
2021-05-17 12:04:37 -0800,2021-05-17 12:48:11 -0800,43.57207858363788,2000,yd,318.82
2021-05-19 12:01:45 -0800,2021-05-19 12:49:38 -0800,47.87873335083326,2300,yd,354.695
2021-05-21 12:02:25 -0800,2021-05-21 12:44:54 -0800,42.48314488331477,1925,yd,304.147
2021-05-24 19:00:02 -0800,2021-05-24 19:48:48 -0800,48.76089280049006,2300,yd,345.99
2021-05-25 19:01:21 -0800,2021-05-25 19:47:39 -0800,46.30126278400421,2125,yd,334.187
2021-05-27 08:51:06 -0800,2021-05-27 09:19:33 -0800,28.44891651670138,1325,yd,209.694
2021-06-02 19:01:29 -0800,2021-06-02 19:51:03 -0800,49.57160355051359,2250,yd,360.145
2021-06-03 19:09:43 -0800,2021-06-03 19:50:41 -0800,40.96760638356209,2025,yd,328.703
2021-06-04 19:06:53 -0800,2021-06-04 19:50:11 -0800,43.29668665130933,2025,yd,308.23
